YEAR,TEAM NAME,TEAM_ID,TEAM_CODE,YELLOW CARD,RED CARD,TOTAL CARD,,,
1970,Belgium,T-6,BEL,3,0,3,,,
1970,Brazil,T-9,BRA,3,0,3,,,
1970,Czechoslovakia,T-20,CSK,2,0,2,,,
1970,El Salvador,T-26,SLV,4,0,4,,,
1970,England,T-27,ENG,2,0,2,,,
1970,Israel,T-39,ISR,4,0,4,,,
1970,Italy,T-40,ITA,7,0,7,,,
1970,Mexico,T-45,MEX,3,0,3,,,
1970,Romania,T-60,ROU,3,0,3,,,
1970,Soviet Union,T-71,SUN,8,0,8,,,
1970,Sweden,T-73,SWE,2,0,2,,,
1970,Uruguay,T-82,URY,7,0,7,,,
1970,West Germany,T-85,DEU,4,0,4,,,
1974,Argentina,T-3,ARG,8,0,8,,,
1974,Australia,T-4,AUS,1,1,2,,,
1974,Brazil,T-9,BRA,11,1,12,,,
1974,Bulgaria,T-10,BGR,3,0,3,,,
1974,Chile,T-13,CHL,5,1,6,,,
1974,East Germany,T-23,DDR,10,0,10,,,
1974,Haiti,T-32,HTI,3,0,3,,,
1974,Italy,T-40,ITA,2,0,2,,,
1974,Netherlands,T-47,NLD,11,0,11,,,
1974,Sweden,T-73,SWE,5,0,5,,,
1974,Scotland,T-63,SCO,3,0,3,,,
1974,Poland,T-56,POL,5,0,5,,,
1974,Zaire,T-87,COD,2,1,3,,,
1974,Uruguay,T-82,URY,5,1,6,,,
1974,Yugoslavia,T-86,YUG,10,0,10,,,
1974,West Germany,T-85,DEU,3,0,3,,,
1978,Argentina,T-3,ARG,4,0,4,,,
1978,Austria,T-5,AUT,2,0,2,,,
1978,Brazil,T-9,BRA,3,0,3,,,
1978,France,T-28,FRA,3,0,3,,,
1978,Hungary,T-34,HUN,4,2,6,,,
1978,Italy,T-40,ITA,6,0,6,,,
1978,Mexico,T-45,MEX,1,0,1,,,
1978,Netherlands,T-47,NLD,8,1,9,,,
1978,Peru,T-55,PER,3,0,3,,,
1978,Poland,T-56,POL,3,0,3,,,
1978,Scotland,T-63,SCO,1,0,1,,,
1978,Spain,T-72,ESP,1,0,1,,,
1978,Sweden,T-73,SWE,2,0,2,,,
1978,Tunisia,T-77,TUN,1,0,1,,,
1978,West Germany,T-85,DEU,4,0,4,,,
1982,Algeria,T-1,DZA,2,0,2,,,
1982,Argentina,T-3,ARG,7,2,9,,,
1982,Austria,T-5,AUT,6,0,6,,,
1982,Belgium,T-6,BEL,3,0,3,,,
1982,Brazil,T-9,BRA,2,0,2,,,
1982,Cameroon,T-11,CMR,4,0,4,,,
1982,Chile,T-13,CHL,4,0,4,,,
1982,Czechoslovakia,T-20,CSK,2,1,3,,,
1982,El Salvador,T-26,SLV,5,0,5,,,
1982,England,T-27,ENG,3,0,3,,,
1982,France,T-28,FRA,6,0,6,,,
1982,Honduras,T-33,HND,1,1,2,,,
1982,Hungary,T-34,HUN,2,0,2,,,
1982,Italy,T-40,ITA,11,0,11,,,
1982,Kuwait,T-44,KWT,3,0,3,,,
1982,Northern Ireland,T-51,NIR,4,1,5,,,
1982,Peru,T-55,PER,2,0,2,,,
1982,Poland,T-56,POL,10,0,10,,,
1982,Scotland,T-63,SCO,1,0,1,,,
1982,Soviet Union,T-71,SUN,4,0,4,,,
1982,Spain,T-72,ESP,6,0,6,,,
1982,West Germany,T-85,DEU,8,0,8,,,
1982,Yugoslavia,T-86,YUG,3,0,3,,,
1986,Algeria,T-1,DZA,2,0,2,,,
1986,Argentina,T-3,ARG,12,0,12,,,
1986,Belgium,T-6,BEL,8,0,8,,,
1986,Brazil,T-9,BRA,3,0,3,,,
1986,Bulgaria,T-10,BGR,3,0,3,,,
1986,Canada,T-12,CAN,2,1,3,,,
1986,Denmark,T-21,DNK,4,1,5,,,
1986,England,T-27,ENG,8,1,9,,,
1986,France,T-28,FRA,6,0,6,,,
1986,Iraq,T-37,IRQ,9,1,10,,,
1986,Italy,T-40,ITA,8,0,8,,,
1986,Mexico,T-45,MEX,10,1,11,,,
1986,Morocco,T-46,MAR,5,0,5,,,
1986,Northern Ireland,T-51,NIR,5,0,5,,,
1986,Paraguay,T-54,PRY,5,0,5,,,
1986,Poland,T-56,POL,5,0,5,,,
1986,Portugal,T-57,PRT,2,0,2,,,
1986,Scotland,T-63,SCO,5,0,5,,,
1986,South Korea,T-70,KOR,7,0,7,,,
1986,Soviet Union,T-71,SUN,2,0,2,,,
1986,Spain,T-72,ESP,8,0,8,,,
1986,Uruguay,T-82,URY,11,2,13,,,
1986,West Germany,T-85,DEU,8,1,9,,,
1990,Argentina,T-3,ARG,22,3,25,,,
1990,Austria,T-5,AUT,9,1,10,,,
1990,Belgium,T-6,BEL,1,1,2,,,
1990,Brazil,T-9,BRA,7,1,8,,,
1990,Cameroon,T-11,CMR,14,2,16,,,
1990,Colombia,T-15,COL,5,0,5,,,
1990,Costa Rica,T-16,CRI,6,0,6,,,
1990,Czechoslovakia,T-20,CSK,13,1,14,,,
1990,Egypt,T-25,EGY,4,0,4,,,
1990,England,T-27,ENG,6,0,6,,,
1990,Italy,T-40,ITA,6,0,6,,,
1990,Netherlands,T-47,NLD,5,1,6,,,
1990,Republic of Ireland,T-59,IRL,4,0,4,,,
1990,Romania,T-60,ROU,7,0,7,,,
1990,Scotland,T-63,SCO,3,0,3,,,
1990,South Korea,T-70,KOR,7,1,8,,,
1990,Soviet Union,T-71,SUN,3,1,4,,,
1990,Spain,T-72,ESP,4,0,4,,,
1990,Sweden,T-73,SWE,4,0,4,,,
1990,United Arab Emirates,T-80,ARE,7,1,8,,,
1990,United States,T-81,USA,7,1,8,,,
1990,Uruguay,T-82,URY,9,0,9,,,
1990,West Germany,T-85,DEU,8,1,9,,,
1990,Yugoslavia,T-86,YUG,8,1,9,,,
1994,Argentina,T-3,ARG,9,0,9,,,
1994,Belgium,T-6,BEL,6,0,6,,,
1994,Brazil,T-9,BRA,8,1,9,,,
1994,Bolivia,T-7,BOL,7,2,9,,,
1994,Bulgaria,T-10,BGR,21,2,23,,,
1994,Cameroon,T-11,CMR,5,1,6,,,
1994,Colombia,T-15,COL,7,0,7,,,
1994,Germany,T-29,DEU,13,0,13,,,
1994,Greece,T-31,GRC,8,0,8,,,
1994,Italy,T-40,ITA,11,2,13,,,
1994,Mexico,T-45,MEX,10,1,11,,,
1994,Morocco,T-46,MAR,10,0,10,,,
1994,Netherlands,T-47,NLD,12,0,12,,,
1994,Nigeria,T-49,NGA,9,0,9,,,
1994,Norway,T-52,NOR,6,0,6,,,
1994,Republic of Ireland,T-59,IRL,8,0,8,,,
1994,Romania,T-60,ROU,12,1,13,,,
1994,Russia,T-61,RUS,8,1,9,,,
1994,Saudi Arabia,T-62,SAU,10,0,10,,,
1994,South Korea,T-70,KOR,6,0,6,,,
1994,Spain,T-72,ESP,13,1,14,,,
1994,Sweden,T-73,SWE,13,2,15,,,
1994,Switzerland,T-74,CHE,8,0,8,,,
1994,United States,T-81,USA,8,1,9,,,
1998,Argentina,T-3,ARG,11,1,12,,,
1998,Austria,T-5,AUT,6,0,6,,,
1998,Belgium,T-6,BEL,4,1,5,,,
1998,Brazil,T-9,BRA,12,0,12,,,
1998,Bulgaria,T-10,BGR,7,1,8,,,
1998,Cameroon,T-11,CMR,6,3,9,,,
1998,Chile,T-13,CHL,13,0,13,,,
1998,Colombia,T-15,COL,5,0,5,,,
1998,Croatia,T-17,HRV,19,0,19,,,
1998,Denmark,T-21,DNK,12,2,14,,,
1998,England,T-27,ENG,5,1,6,,,
1998,France,T-28,FRA,12,3,15,,,
1998,Germany,T-29,DEU,12,1,13,,,
1998,Iran,T-36,IRN,3,0,3,,,
1998,Italy,T-40,ITA,11,0,11,,,
1998,Jamaica,T-42,JAM,5,1,6,,,
1998,Japan,T-43,JPN,7,0,7,,,
1998,Mexico,T-45,MEX,10,2,12,,,
1998,Morocco,T-46,MAR,4,0,4,,,
1998,Netherlands,T-47,NLD,10,2,12,,,
1998,Nigeria,T-49,NGA,8,0,8,,,
1998,Norway,T-52,NOR,7,0,7,,,
1998,Paraguay,T-54,PRY,8,0,8,,,
1998,Romania,T-60,ROU,10,0,10,,,
1998,Saudi Arabia,T-62,SAU,4,1,5,,,
1998,Scotland,T-63,SCO,4,1,5,,,
1998,South Africa,T-69,ZAF,7,1,8,,,
1998,South Korea,T-70,KOR,7,1,8,,,
1998,Spain,T-72,ESP,7,0,7,,,
1998,Tunisia,T-77,TUN,7,0,7,,,
1998,United States,T-81,USA,4,0,4,,,
1998,Yugoslavia,T-86,YUG,7,0,7,,,
2002,Argentina,T-3,ARG,6,1,7,,,
2002,Belgium,T-6,BEL,6,0,6,,,
2002,Brazil,T-9,BRA,7,1,8,,,
2002,Cameroon,T-11,CMR,9,1,10,,,
2002,China,T-14,CHN,5,1,6,,,
2002,Costa Rica,T-16,CRI,6,0,6,,,
2002,Croatia,T-17,HRV,3,1,4,,,
2002,Denmark,T-21,DNK,9,0,9,,,
2002,Ecuador,T-24,ECU,9,0,9,,,
2002,England,T-27,ENG,6,0,6,,,
2002,France,T-28,FRA,3,1,4,,,
2002,Germany,T-29,DEU,17,1,18,,,
2002,Italy,T-40,ITA,11,1,12,,,
2002,Japan,T-43,JPN,6,0,6,,,
2002,Mexico,T-45,MEX,8,1,9,,,
2002,Nigeria,T-49,NGA,2,0,2,,,
2002,Paraguay,T-54,PRY,10,2,12,,,
2002,Poland,T-56,POL,9,0,9,,,
2002,Portugal,T-57,PRT,7,2,9,,,
2002,Republic of Ireland,T-59,IRL,4,0,4,,,
2002,Russia,T-61,RUS,9,0,9,,,
2002,Saudi Arabia,T-62,SAU,3,0,3,,,
2002,Senegal,T-64,SEN,14,1,15,,,
2002,Slovenia,T-68,SVN,10,1,11,,,
2002,South Africa,T-69,ZAF,10,0,10,,,
2002,South Korea,T-70,KOR,14,0,14,,,
2002,Spain,T-72,ESP,7,0,7,,,
2002,Sweden,T-73,SWE,6,0,6,,,
2002,Tunisia,T-77,TUN,8,0,8,,,
2002,Turkey,T-78,TUR,18,2,20,,,
2002,United States,T-81,USA,14,0,14,,,
2002,Uruguay,T-82,URY,10,0,10,,,
2006,Angola,T-2,AGO,10,1,11,,,
2006,Argentina,T-3,ARG,12,1,13,,,
2006,Australia,T-4,AUS,10,1,11,,,
2006,Brazil,T-9,BRA,11,0,11,,,
2006,Costa Rica,T-16,CRI,8,0,8,,,
2006,Croatia,T-17,HRV,9,2,11,,,
2006,CZECHIA,T-19,CZE,6,2,8,,,
2006,Ecuador,T-24,ECU,9,0,9,,,
2006,England,T-27,ENG,9,1,10,,,
2006,France,T-28,FRA,16,1,17,,,
2006,Germany,T-29,DEU,12,0,12,,,
