YEAR,TOURNAMENT NAME,GROUP,TEAM NAME,TEAM_ID,MATCH PLAYED,WIN,DRAW,LOSS,GF,GA,GD,POINTS,,,,,,,,,
1930,1930 FIFA Men's World Cup,GROUP A,Argentina,T-3,3,3,0,0,10,4,6,6,,,,,,,,,
1930,1930 FIFA Men's World Cup,GROUP A,Chile,T-13,3,2,0,1,5,3,2,4,,,,,,,,,
1930,1930 FIFA Men's World Cup,GROUP A,France,T-28,3,1,0,2,4,3,1,2,,,,,,,,,
1930,1930 FIFA Men's World Cup,GROUP A,Mexico,T-45,3,0,0,3,4,13,-9,0,,,,,,,,,
1930,1930 FIFA Men's World Cup,GROUP B,Uruguay,T-82,2,2,0,0,5,0,5,4,,,,,,,,,
1930,1930 FIFA Men's World Cup,GROUP B,Romania,T-60,2,1,0,1,3,5,-2,2,,,,,,,,,
1930,1930 FIFA Men's World Cup,GROUP B,Peru,T-55,2,0,0,2,1,4,-3,0,,,,,,,,,
1930,1930 FIFA Men's World Cup,GROUP C,Yugoslavia,T-86,2,2,0,0,6,1,5,4,,,,,,,,,
1930,1930 FIFA Men's World Cup,GROUP C,Brazil,T-9,2,1,0,1,5,2,3,2,,,,,,,,,
1930,1930 FIFA Men's World Cup,GROUP C,Bolivia,T-7,2,0,0,2,0,8,-8,0,,,,,,,,,
1930,1930 FIFA Men's World Cup,GROUP D,United States,T-81,2,2,0,0,6,0,6,4,,,,,,,,,
1930,1930 FIFA Men's World Cup,GROUP D,Paraguay,T-54,2,1,0,1,1,3,-2,2,,,,,,,,,
1930,1930 FIFA Men's World Cup,GROUP D,Belgium,T-6,2,0,0,2,0,4,-4,0,,,,,,,,,
1934,1934 FIFA Men's World Cup,GROUP A,Italy,T-40,5,4,1,0,12,3,9,9,,,,,,,,,
1934,1934 FIFA Men's World Cup,GROUP A,Czechoslovakia,T-20,4,3,0,1,9,6,3,6,,,,,,,,,
1934,1934 FIFA Men's World Cup,GROUP A,Germany,T-29,4,3,0,1,11,8,3,6,,,,,,,,,
1934,1934 FIFA Men's World Cup,GROUP A,Austria,T-5,4,2,0,2,7,7,0,4,,,,,,,,,
1934,1934 FIFA Men's World Cup,GROUP A,Spain,T-72,3,1,1,1,4,3,1,3,,,,,,,,,
1934,1934 FIFA Men's World Cup,GROUP A,Hungary,T-34,2,1,0,1,5,4,1,2,,,,,,,,,
1934,1934 FIFA Men's World Cup,GROUP A,Switzerland,T-74,2,1,0,1,5,5,0,2,,,,,,,,,
1934,1934 FIFA Men's World Cup,GROUP A,Sweden,T-73,2,1,0,1,4,4,0,2,,,,,,,,,
1934,1934 FIFA Men's World Cup,GROUP B,Argentina,T-3,1,0,0,1,0,0,0,0,,,,,,,,,
1934,1934 FIFA Men's World Cup,GROUP B,France,T-28,1,0,0,1,0,0,0,0,,,,,,,,,
1934,1934 FIFA Men's World Cup,GROUP B,Netherlands,T-47,1,0,0,1,0,0,0,0,,,,,,,,,
1934,1934 FIFA Men's World Cup,GROUP B,Romania,T-60,1,0,0,1,0,0,0,0,,,,,,,,,
1934,1934 FIFA Men's World Cup,GROUP B,Egypt,T-25,1,0,0,1,0,0,0,0,,,,,,,,,
1934,1934 FIFA Men's World Cup,GROUP B,Brazil,T-9,1,0,0,1,0,0,0,0,,,,,,,,,
1934,1934 FIFA Men's World Cup,GROUP B,Belgium,T-6,1,0,0,1,0,0,0,0,,,,,,,,,
1934,1934 FIFA Men's World Cup,GROUP B,UNITED STATES,T-81,1,0,0,1,0,0,0,0,,,,,,,,,
1938,1938 FIFA Men's World Cup,GROUP A,Italy,T-40,4,4,0,0,11,5,6,8,,,,,,,,,
1938,1938 FIFA Men's World Cup,GROUP A,Hungary,T-34,4,3,0,1,15,5,10,6,,,,,,,,,
1938,1938 FIFA Men's World Cup,GROUP A,Brazil,T-9,5,3,1,1,14,11,3,7,,,,,,,,,
1938,1938 FIFA Men's World Cup,GROUP A,Sweden,T-73,3,1,0,2,11,9,2,2,,,,,,,,,
1938,1938 FIFA Men's World Cup,GROUP A,Czechoslovakia,T-20,3,1,1,1,5,3,2,3,,,,,,,,,
1938,1938 FIFA Men's World Cup,GROUP A,Switzerland,T-74,3,1,1,1,5,5,0,3,,,,,,,,,
1938,1938 FIFA Men's World Cup,GROUP A,Cuba,T-18,3,1,1,1,5,12,-7,3,,,,,,,,,
1938,1938 FIFA Men's World Cup,GROUP A,France,T-28,2,1,0,1,4,4,0,2,,,,,,,,,
1938,1938 FIFA Men's World Cup,GROUP B,Romania,T-60,2,0,1,1,4,5,-1,1,,,,,,,,,
1938,1938 FIFA Men's World Cup,GROUP B,Germany,T-29,2,0,1,1,3,5,-2,1,,,,,,,,,
1938,1938 FIFA Men's World Cup,GROUP B,Poland,T-56,1,0,0,1,5,6,-1,0,,,,,,,,,
1938,1938 FIFA Men's World Cup,GROUP B,Norway,T-52,1,0,0,1,1,2,-1,0,,,,,,,,,
