YEAR,PLAYERS,PLAYER_ID,TEAM,TEAM_ID,GOALS
1930,Bert Patenaude,P-11,UNITED STATES,T-81,3
1930,Guillermo Stábile,P-50,Argentina,T-3,3
1930,Pedro Cea,P-101,Uruguay,T-82,3
1934,Angelo Schiavio,P-6,Italy,T-40,3
1934,Edmund Conen,P-25,Germany,T-29,3
1934,Oldřich Nejedlý,P-94,Czechoslovakia,T-20,3
1938,Ernest Wilimowski,P-31,Poland,T-56,4
1938,Leônidas da Silva,P-77,Brazil,T-9,3
1938,Gustav Wetterström,P-51,Sweden,T-73,3
1938,Harry Andersson,P-56,Sweden,T-73,3
1938,Gyula Zsengellér,P-53,Hungary,T-34,3
1950,Oscar Míguez,P-98,Uruguay,T-82,3
1950,Ademir,P-1,Brazil,T-9,4
1954,Sándor Kocsis,P-113,Hungary,T-34,3
1954,Erich Probst,P-30,Austria,T-5,3
1954,Carlos Borges,P-14,Uruguay,T-82,3
1954,Sándor Kocsis,P-113,Hungary,T-34,4
1954,Burhan Sargun,P-12,Turkey,T-78,3
1954,Max Morlock,P-88,West Germany,T-85,3
1954,Theodor Wagner,P-117,Austria,T-5,3
1954,Josef Hügi,P-68,Switzerland,T-74,3
1958,Just Fontaine,P-70,France,T-28,3
1958,Pelé,P-102,Brazil,T-9,3
1958,Just Fontaine,P-70,France,T-28,4
1962,Flórián Albert,P-38,Hungary,T-34,3
1966,Eusébio,P-33,Portugal,T-57,4
1966,Geoff Hurst,P-43,England,T-27,3
1970,Gerd Müller,P-45,West Germany,T-85,3
1970,Gerd Müller,P-45,West Germany,T-85,3
1974,Dušan Bajević,P-23,Yugoslavia,T-86,3
1974,Andrzej Szarmach,P-5,Poland,T-56,3
1978,Rob Rensenbrink,P-105,Netherlands,T-47,3
1978,Teófilo Cubillas,P-116,Peru,T-55,3
1982,László Kiss,P-75,Hungary,T-34,3
1982,Karl-Heinz Rummenigge,P-71,West Germany,T-85,3
1982,Zbigniew Boniek,P-126,Poland,T-56,3
1982,Paolo Rossi,P-99,Italy,T-40,3
1986,Preben Elkjær,P-103,Denmark,T-21,3
1986,Gary Lineker,P-42,England,T-27,3
1986,Igor Belanov,P-63,Soviet Union,T-71,3
1986,Emilio Butragueño,P-27,Spain,T-72,4
1990,Míchel,P-90,Spain,T-72,3
1990,Tomáš Skuhravý,P-120,Czechoslovakia,T-20,3
1994,Gabriel Batistuta,P-40,Argentina,T-3,3
1994,Oleg Salenko,P-95,Russia,T-61,5
1998,Gabriel Batistuta,P-40,Argentina,T-3,3
2002,Miroslav Klose,P-92,Germany,T-29,3
2010,Gonzalo Higuaín,P-48,Argentina,T-3,3
2014,Thomas Müller,P-119,Germany,T-29,3
2018,Harry Kane,P-57,England,T-27,3
2022,Kylian Mbappé,P-73,France,T-28,3
2022,Gonçalo Ramos,P-47,Portugal,T-57,3
