Year,PLAYER NAME ,PLAYER_ID,Team,TEAM_ID,AWARD,MATCH
2002,Ronaldo,P-111,Brazil,T-9,Man of the Match,FINAL'S
2002,Hakan Şük,P-54,Turkey,T-78,Man of the Match,THIRD PLACE MATCH
2006,Andrea Pirlo,P-3,Italy,T-40,Man of the Match,FINAL'S
2006,Bastian Schweinsteiger,P-10,Germany,T-29,Man of the Match,THIRD PLACE MATCH
2010,Andrés Iniest,P-4,Spain,T-72,Man of the Match,FINAL'S
2010,Thomas Mülle,P-119,Germany,T-29,Man of the Match,THIRD PLACE MATCH
2014,Mario Götz,P-86,Germany,T-29,Man of the Match,FINAL'S
2014,Georginio Wijnaldum,P-44,Netherlands,T-47,Man of the Match,THIRD PLACE MATCH
2018,Antoine Griezmann,P-7,France,T-28,Man of the Match,FINAL'S
2018,Eden Hazard,P-24,Belgium,T-6,Man of the Match,THIRD PLACE MATCH
2022,Lionel Messi,P-79,Argentina,T-3,Man of the Match,FINAL'S
2022,Josko Gvardiol,P-69,Croatia,T-17,Man of the Match,THIRD PLACE MATCH
