YEAR,TOURNAMENT_NAME,MATCHES,TOTAL GOALS,TOTAL YELLOW CARDS,TOTAL RED CARDS,TOTAL CARDS
1930,1930 FIFA Men's World Cup,18,70,0,0,0
1934,1934 FIFA Men's World Cup,17,70,0,0,0
1938,1938 FIFA Men's World Cup,18,84,0,0,0
1950,1950 FIFA Men's World Cup,22,88,0,0,0
1954,1954 FIFA Men's World Cup,26,140,0,0,0
1958,1958 FIFA Men's World Cup,35,126,0,0,0
1962,1962 FIFA Men's World Cup,32,89,0,0,0
1966,1966 FIFA Men's World Cup,32,89,0,0,0
1970,1970 FIFA Men's World Cup,32,95,52,0,52
1974,1974 FIFA Men's World Cup,38,97,87,5,92
1978,1978 FIFA Men's World Cup,38,102,46,3,49
1982,1982 FIFA Men's World Cup,52,146,99,5,104
1986,1986 FIFA Men's World Cup,52,132,138,8,142
1990,1990 FIFA Men's World Cup,52,115,169,16,179
1994,1994 FIFA Men's World Cup,52,141,228,15,236
1998,1998 FIFA Men's World Cup,64,171,254,22,272
2002,2002 FIFA Men's World Cup,64,161,266,17,277
2006,2006 FIFA Men's World Cup,64,147,326,28,335
2010,2010 FIFA Men's World Cup,64,145,254,17,263
2014,2014 FIFA Men's World Cup,64,171,184,10,191
2018,2018 FIFA Men's World Cup,64,169,221,4,223
2022,2022 FIFA Men's World Cup,64,172,224,4,225
