key_id,tournament_id,tournament_name,TEAM_NAME,TEAM_ID,TEAM_CODE,performance,,,,,,,,,,
1,WC-1930,1930 FIFA Men's World Cup,Uruguay,T-82,URY,champions,,,,,,,,,,
2,WC-1934,1934 FIFA Men's World Cup,Italy,T-40,ITA,champions,,,,,,,,,,
3,WC-1938,1938 FIFA Men's World Cup,France,T-28,FRA,quater-finals,,,,,,,,,,
4,WC-1950,1950 FIFA Men's World Cup,Brazil,T-9,BRA,runners-up,,,,,,,,,,
5,WC-1954,1954 FIFA Men's World Cup,Switzerland,T-74,CHE,quarter-final,,,,,,,,,,
6,WC-1958,1958 FIFA Men's World Cup,Sweden,T-73,SWE,runners-up,,,,,,,,,,
7,WC-1962,1962 FIFA Men's World Cup,Chile,T-13,CHL,third place,,,,,,,,,,
8,WC-1966,1966 FIFA Men's World Cup,England,T-27,ENG,champions,,,,,,,,,,
9,WC-1970,1970 FIFA Men's World Cup,Mexico,T-45,MEX,quater-finals,,,,,,,,,,
10,WC-1974,1974 FIFA Men's World Cup,West Germany,T-85,DEU,champions,,,,,,,,,,
11,WC-1978,1978 FIFA Men's World Cup,Argentina,T-3,ARG,champions,,,,,,,,,,
12,WC-1982,1982 FIFA Men's World Cup,Spain,T-72,ESP,second group stage,,,,,,,,,,
13,WC-1986,1986 FIFA Men's World Cup,Mexico,T-45,MEX,quater-finals,,,,,,,,,,
14,WC-1990,1990 FIFA Men's World Cup,Italy,T-40,ITA,third place,,,,,,,,,,
15,WC-1991,1991 FIFA Women's World Cup,China,T-14,CHN,quarter-finals,,,,,,,,,,
16,WC-1994,1994 FIFA Men's World Cup,United States,T-81,USA,round of 16,,,,,,,,,,
17,WC-1995,1995 FIFA Women's World Cup,Sweden,T-73,SWE,quarter-finals,,,,,,,,,,
18,WC-1998,1998 FIFA Men's World Cup,France,T-28,FRA,champions,,,,,,,,,,
19,WC-1999,1999 FIFA Women's World Cup,United States,T-81,USA,champions,,,,,,,,,,
20,WC-2002,2002 FIFA Men's World Cup,Japan,T-43,JPN,round of 16,,,,,,,,,,
21,WC-2002,2002 FIFA Men's World Cup,South Korea,T-70,KOR,fourth place,,,,,,,,,,
22,WC-2003,2003 FIFA Women's World Cup,United States,T-81,USA,third place,,,,,,,,,,
23,WC-2006,2006 FIFA Men's World Cup,Germany,T-29,DEU,third place,,,,,,,,,,
24,WC-2007,2007 FIFA Women's World Cup,China,T-14,CHN,quarter-finals,,,,,,,,,,
25,WC-2010,2010 FIFA Men's World Cup,South Africa,T-69,ZAF,group stage,,,,,,,,,,
26,WC-2011,2011 FIFA Women's World Cup,Germany,T-29,DEU,quarter-finals,,,,,,,,,,
27,WC-2014,2014 FIFA Men's World Cup,Brazil,T-9,BRA,fourth place,,,,,,,,,,
28,WC-2015,2015 FIFA Women's World Cup,Canada,T-12,CAN,quarter-finals,,,,,,,,,,
29,WC-2018,2018 FIFA Men's World Cup,Russia,T-61,RUS,quater-finals,,,,,,,,,,
30,WC-2019,2019 FIFA Women's World Cup,France,T-28,FRA,quarter-finals,,,,,,,,,,
31,WC-2022,2022 FIFA Men's World Cup,Qatar,T-58,QAT,group stage,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
